OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601397,Sample-Routine,Water,Groundwater,2016-07-20,09:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-471928118412501,,L-2030129 X=no time on DOC & GCVs  Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105283086,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.040,mg/l as N,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601397,Sample-Routine,Water,Groundwater,2016-07-20,09:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-471928118412501,,L-2030129 X=no time on DOC & GCVs  Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105283535,Not Detected,,Nitrate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.177,mg/l asNO3,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601468,Sample-Routine,Water,Groundwater,2016-08-23,13:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465913122314001,,L-2370101 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105609678,,,Nitrate,Dissolved,1.63,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601468,Sample-Routine,Water,Groundwater,2016-08-23,13:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465913122314001,,L-2370101 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105609868,,,Nitrate,Dissolved,7.20,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700291,Sample-Routine,Water,Groundwater,2016-11-07,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945219,,,Nitrate,Dissolved,1.41,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700291,Sample-Routine,Water,Groundwater,2016-11-07,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945226,,,Nitrate,Dissolved,6.24,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700295,Sample-Routine,Water,Groundwater,2016-11-09,10:20:00,PST,,,,,2.3,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-475252117393201,,L-3210032 Changed Station ID to current per R. Huffman. JPC 11/30/16,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945266,,,Nitrate,Dissolved,1.16,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700295,Sample-Routine,Water,Groundwater,2016-11-09,10:20:00,PST,,,,,2.3,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-475252117393201,,L-3210032 Changed Station ID to current per R. Huffman. JPC 11/30/16,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945273,,,Nitrate,Dissolved,5.14,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601695,Sample-Routine,Water,Groundwater,2016-09-21,09:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-485932122241601,,"L-2670086 Begin date and time is missing in mandatory field, JNV Samples were received chilled at the WHOI lab.  Added begin date 20160921 and time 0930 per Senter.  12/9/2016 mec",,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106236844,,,Nitrate,Dissolved,7.59,mg/l as N,,Accepted,,Actual,,,,,,,,,,,00618,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601695,Sample-Routine,Water,Groundwater,2016-09-21,09:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-485932122241601,,"L-2670086 Begin date and time is missing in mandatory field, JNV Samples were received chilled at the WHOI lab.  Added begin date 20160921 and time 0930 per Senter.  12/9/2016 mec",,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106237299,,,Nitrate,Dissolved,33.6,mg/l asNO3,,Accepted,,Actual,,,,,,,,,,,71851,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
