OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601397,Sample-Routine,Water,Groundwater,2016-07-20,09:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-471928118412501,,L-2030129 X=no time on DOC & GCVs  Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105283088,,,Orthophosphate,Dissolved,0.086,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601397,Sample-Routine,Water,Groundwater,2016-07-20,09:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-471928118412501,,L-2030129 X=no time on DOC & GCVs  Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105283089,,,Orthophosphate,Dissolved,0.028,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-07-28,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601468,Sample-Routine,Water,Groundwater,2016-08-23,13:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465913122314001,,L-2370101 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105609680,,,Orthophosphate,Dissolved,0.662,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601468,Sample-Routine,Water,Groundwater,2016-08-23,13:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-465913122314001,,L-2370101 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-105609681,,,Orthophosphate,Dissolved,0.216,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-08-30,sample was diluted,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700291,Sample-Routine,Water,Groundwater,2016-11-07,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945221,,,Orthophosphate,Dissolved,0.418,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700291,Sample-Routine,Water,Groundwater,2016-11-07,16:15:00,PST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-474755117351801,,,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945222,,,Orthophosphate,Dissolved,0.136,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-11-21,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700295,Sample-Routine,Water,Groundwater,2016-11-09,10:20:00,PST,,,,,2.3,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-475252117393201,,L-3210032 Changed Station ID to current per R. Huffman. JPC 11/30/16,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945268,,,Orthophosphate,Dissolved,0.309,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700295,Sample-Routine,Water,Groundwater,2016-11-09,10:20:00,PST,,,,,2.3,feet,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-475252117393201,,L-3210032 Changed Station ID to current per R. Huffman. JPC 11/30/16,,Not applicable,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-108945269,,,Orthophosphate,Dissolved,0.101,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-11-21,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601695,Sample-Routine,Water,Groundwater,2016-09-21,09:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-485932122241601,,"L-2670086 Begin date and time is missing in mandatory field, JNV Samples were received chilled at the WHOI lab.  Added begin date 20160921 and time 0930 per Senter.  12/9/2016 mec",,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106236846,,,Orthophosphate,Dissolved,0.016,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601695,Sample-Routine,Water,Groundwater,2016-09-21,09:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-485932122241601,,"L-2670086 Begin date and time is missing in mandatory field, JNV Samples were received chilled at the WHOI lab.  Added begin date 20160921 and time 0930 per Senter.  12/9/2016 mec",,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-106236847,,,Orthophosphate,Dissolved,0.005,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-09-27,below the reporting level but at or above the detection level,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600783,Sample-Routine,Water,Surface Water,2016-01-19,08:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 Teflon bottle,NWIS-103207867,,,Orthophosphate,Dissolved,0.232,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01600783,Sample-Routine,Water,Surface Water,2016-01-19,08:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12510500,,,,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 Teflon bottle,NWIS-103207870,,,Orthophosphate,Dissolved,0.076,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-01-25,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601494,Sample-Routine,Water,Surface Water,2016-08-27,14:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12447390,,,,"Stable, low stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-105723867,Not Detected,,Orthophosphate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Historical Lower Reporting Limit,0.012,mg/l asPO4,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601494,Sample-Routine,Water,Surface Water,2016-08-27,14:00:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12447390,,,,"Stable, low stage",Routine sample,,,70,USGS parameter code 82398,Grab sample  (dip),,Grab sample,NWIS-105723868,Not Detected,,Orthophosphate,Dissolved,,,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-09-13,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601450,Sample-Routine,Water,Groundwater,2016-08-09,11:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-460140118192801,,L-2230125 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-107475101,,,Orthophosphate,Dissolved,0.060,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01601450,Sample-Routine,Water,Groundwater,2016-08-09,11:30:00,PDT,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,USGS - Washington Water Science Center,USGS-460140118192801,,L-2230125 Samples were received chilled at the WHOI lab.,,Not applicable,Not applicable,,,8040,USGS parameter code 82398,Spigot,,None,NWIS-107475102,,,Orthophosphate,Dissolved,0.019,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-08-12,,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700346,Sample-Routine,Water,Surface Water,2016-12-12,13:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-106378379,,,Orthophosphate,Dissolved,0.014,mg/l asPO4,,Accepted,,Actual,,,,,,,,,,,00660,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,nwiswa.01.01700346,Sample-Routine,Water,Surface Water,2016-12-12,13:30:00,PST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-12056500,,,,"Stable, normal stage",Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-95 plastic bottle,NWIS-106378380,,,Orthophosphate,Dissolved,0.005,mg/l as P,,Accepted,,Actual,,,,,,,,,,,00671,,,,,,,,,PHM01,USGS,"Ortho-PO4, wf, DA phos/mol(NWQL)",,"Anal Chim Acta, 1962, v 27, p 31-36","USGS-National Water Quality Lab, Denver, CO",2016-12-14,below the reporting level but at or above the detection level,,Detection limit by DQCALC,0.004,mg/l as P,,,NWIS
