OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WA,USGS Washington Water Science Center,USGS-12056500,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",Stream,,17110017,57.2,sq mi,,,47.51425666000000,-123.3298868000000,,1,seconds,Interpolated from MAP.,NAD83,762.26,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,045,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12131300,"BOLT CREEK AT BECKLER RIVER RD NEAR SKYKOMISH, WA",Stream,,17110009,,,,,47.72675000000000,-121.3383694000000,24000,Unknown,Unknown,Interpolated from Digital MAP.,NAD83,990,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,033,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12131500,"SOUTH FORK SKYKOMISH RIVER AT SKYKOMISH, WA",Stream,,17110009,243,sq mi,,,47.71104167000000,-121.3607333000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,900,feet,.03,feet,Level or other surveyed method.,NAVD88,US,53,033,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12212050,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",Stream,,17110004,37.8,sq mi,,,48.93872570000000,-122.4790532000000,24000,1,seconds,Interpolated from MAP.,NAD83,54,feet,5,feet,Interpolated from topographic map.,NGVD29,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12447390,"ANDREWS CREEK NEAR MAZAMA, WA",Stream,,17020008,22.1,sq mi,,,48.82292450000000,-120.1459245000000,,1,seconds,Interpolated from MAP.,NAD83,4300.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,047,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12464770,"CRAB CREEK AT ROCKY FORD ROAD NEAR RITZVILLE, WA",Stream,,17020013,384,sq mi,384,sq mi,47.30265108000000,-118.3691441000000,,1,seconds,Interpolated from MAP.,NAD83,1660,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,043,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12464780,"CRAB CREEK ABOVE SYLVAN LAKE NEAR LAMONA, WA",Stream,,17020013,542.00,sq mi,,,47.30875960000000,-118.4994292000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,53,043,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12465000,"CRAB CREEK AT IRBY, WA",Stream,,17020013,1042,sq mi,,,47.36042380000000,-118.8500022000000,,1,seconds,Interpolated from MAP.,NAD83,1386.30,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,043,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12465400,"WILSON CREEK BELOW CORBETT DRAW NEAR ALMIRA, WA",Stream,,17020013,327,sq mi,,,47.66292630000000,-118.9305666000000,,1,seconds,Interpolated from MAP.,NAD83,1670,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,043,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12465460,"WILSON CREEK AT RD29 NE NR WILSON CREEK, WA",Stream,,17020013,,,,,47.50941110000000,-119.0178556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,1456,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,025,,,,,,,,,,NWIS
