OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-WA,USGS Washington Water Science Center,USGS-12056500,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",Stream,,17110017,57.2,sq mi,,,47.51425666000000,-123.3298868000000,,1,seconds,Interpolated from MAP.,NAD83,762.26,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,045,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12211390,"KAMM CREEK AT KAMM ROAD NEAR LYNDEN, WA",Stream,,17110004,,,,,48.95650587000000,-122.4023826000000,24000,1,seconds,Interpolated from MAP.,NAD83,65,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12212050,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",Stream,,17110004,37.8,sq mi,,,48.93872570000000,-122.4790532000000,24000,1,seconds,Interpolated from MAP.,NAD83,54,feet,5,feet,Interpolated from topographic map.,NGVD29,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12213100,"NOOKSACK RIVER AT FERNDALE, WA",Stream,,17110004,786,sq mi,,,48.84483249000000,-122.5893389000000,24000,1,seconds,Interpolated from MAP.,NAD83,8.34,feet,.01,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,53,073,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12447390,"ANDREWS CREEK NEAR MAZAMA, WA",Stream,,17020008,22.1,sq mi,,,48.82292450000000,-120.1459245000000,,1,seconds,Interpolated from MAP.,NAD83,4300.00,feet,10,feet,Interpolated from topographic map.,NGVD29,US,53,047,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12504509,"JOINT DRAIN 32 AT OUTLOOK RD NEAR SUNNYSIDE, WA",Stream: Ditch,,17030003,,,,,46.33161940000000,-120.1044389000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,763,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12505150,"ROZA CANAL WASTEWAY NUMBER 3 NEAR SAWYER, WA",Stream: Canal,,17030003,,,,,46.45929470000000,-120.3697810000000,,.5,seconds,Interpolated from MAP.,NAD83,845,feet,20,feet,Interpolated from topographic map.,NGVD29,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12505315,"BUENA DRAIN AT WESTBOUND I-82 NEAR BUENA, WA",Stream: Canal,,17030003,,,,,46.41417778000000,-120.3024778000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,766,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-1250532310,"JOINT DRAIN 14.6 AT CHERVON STATION AT ZILLAH, WA",Stream: Canal,,17030003,,,,,46.40412220000000,-120.2768139000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,763,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
USGS-WA,USGS Washington Water Science Center,USGS-12505445,"JOINT DRAIN AT YAKIMA VALLEY HWY AT GRANGER, WA",Stream: Canal,,17030003,,,,,46.34735278000000,-120.1775056000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,744,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,53,077,,,,,,,,,,NWIS
