chemical,water_type,month_start,metric,n,n_sites,nd_frac,mean_value,median_value,ci_low,ci_high
nitrate,groundwater,2016-06-01,mean,5,7,0.0,0.53899999999999992,NULL,0.33800000000000002,0.75980000000000003
nitrate,groundwater,2016-06-01,median,5,7,0.0,NULL,0.48499999999999999,0.223,0.96599999999999997
nitrate,groundwater,2016-07-01,mean,12,23,0.27586206896551724,3.8424166666666664,NULL,1.6801020833333336,6.2482812499999891
nitrate,groundwater,2016-07-01,median,12,23,0.27586206896551724,NULL,2.5049999999999999,0.51900000000000002,6.2800000000000002
nitrate,groundwater,2016-08-01,mean,16,22,0.30769230769230771,1.9652500000000002,NULL,1.1890984375,2.8235390624999992
nitrate,groundwater,2016-08-01,median,16,22,0.30769230769230771,NULL,1.5249999999999999,0.46400000000000002,3.2353749999999977
nitrate,groundwater,2016-09-01,mean,7,12,0.0,2.5028571428571427,NULL,1.0461285714285713,4.3938357142857143
nitrate,groundwater,2016-09-01,median,7,12,0.0,NULL,1.46,0.98799999999999999,3.46
nitrate,groundwater,2016-10-01,mean,2,3,0.54545454545454541,0.60699999999999998,NULL,0.60699999999999998,0.60699999999999998
nitrate,groundwater,2016-10-01,median,2,3,0.54545454545454541,NULL,0.60699999999999998,0.60699999999999998,0.60699999999999998
nitrate,groundwater,2016-11-01,mean,22,17,0.30303030303030304,1.6589545454545453,NULL,1.0003750816993464,2.1837192307692308
nitrate,groundwater,2016-11-01,median,22,17,0.30303030303030304,NULL,1.4299999999999999,0.73499999999999999,2.2400000000000002
nitrate,groundwater,2016-12-01,mean,4,4,0.0,0.73075000000000001,NULL,0.3115,1.1499999999999999
nitrate,groundwater,2016-12-01,median,4,4,0.0,NULL,0.6925,0.27800000000000002,1.26
nitrate,groundwater,2017-02-01,mean,3,2,0.0,1.9766666666666666,NULL,1.9766666666666666,1.9766666666666666
nitrate,groundwater,2017-02-01,median,3,2,0.0,NULL,2.1499999999999999,2.1499999999999999,2.1499999999999999
nitrate,groundwater,2017-03-01,mean,8,4,0.0,2.2104999999999997,NULL,0.52700000000000002,3.4405000000000001
nitrate,groundwater,2017-03-01,median,8,4,0.0,NULL,1.76,0.52700000000000002,2.0
nitrate,groundwater,2017-04-01,mean,96,116,0.2074074074074074,7.7731145833333324,NULL,6.5259419270833332,9.3284565641108248
nitrate,groundwater,2017-04-01,median,96,116,0.2074074074074074,NULL,6.2949999999999999,4.9895000000000005,8.1999999999999993
nitrate,groundwater,2017-05-01,mean,55,57,0.28205128205128205,3.963090909090909,NULL,2.9511841287878786,5.2564635487755922
nitrate,groundwater,2017-05-01,median,55,57,0.28205128205128205,NULL,2.46,2.04,3.3853749999999976
nitrate,groundwater,2017-08-01,mean,19,16,0.27586206896551724,0.96031578947368412,NULL,0.49143694852941183,1.3696395021645023
nitrate,groundwater,2017-08-01,median,19,16,0.27586206896551724,NULL,0.56899999999999995,0.33600000000000002,1.0900000000000001
nitrate,groundwater,2017-09-01,mean,4,12,0.2857142857142857,6.0499999999999998E-2,NULL,4.9500000000000002E-2,7.1500000000000008E-2
nitrate,groundwater,2017-09-01,median,4,12,0.2857142857142857,NULL,5.9999999999999998E-2,4.8000000000000001E-2,7.3999999999999996E-2
