result_id,site_id,site_name,lat,lon,huc8,state_fips,county_fips5,provider,sample_date,chemical,water_type,location_type,activity_media,activity_media_sub,is_nondetect,value_for_stats,value_std,std_unit,rl_raw,detect_condition
STORET-1002422263,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-03-09,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002430650,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-06-22,ortho,surface_water,NULL,Water,Surface Water,0,1.0999999999999999E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002434489,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-04-25,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002439083,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-08-16,ortho,surface_water,NULL,Water,Surface Water,0,8.9999999999999993E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002469799,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-08-16,ortho,surface_water,NULL,Water,Surface Water,0,8.9999999999999993E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002517343,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-10-16,ortho,surface_water,NULL,Water,Surface Water,0,2.5000000000000001E-2,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1002527570,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2023-04-25,ortho,surface_water,NULL,Water,Surface Water,0,NULL,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029249439,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-01-04,ortho,surface_water,NULL,Water,Surface Water,0,0.016,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029249455,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-03-07,ortho,surface_water,NULL,Water,Surface Water,0,6.0000000000000001E-3,NULL,mg/L as P,5.0000000000000001E-3,NULL
STORET-1029249465,OREGONDEQ-10616-ORDEQ,Columbia River at Marker #47 (upstream of Willamette River),45.644898840000003,-122.7390121,17090012,53,53011,STORET,2018-04-24,ortho,surface_water,NULL,Water,Surface Water,0,0.01,NULL,mg/L as P,5.0000000000000001E-3,NULL
